"ANYO","DEPTO","VARIABLE","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
2009,"ANTIOQUIA","PRECIP",176.117431192661,160.947465437788,242.628378378378,244.918552036199,297.762162162162,331.115765765766,214.224888888889,286.20407239819,204.977777777778,301.330769230769,261.79954954955,132.316742081448
2010,"ANTIOQUIA","PRECIP",27.8581333333333,61.7204851752022,198.244444444444,266.670027247956,374.604266666667,373.06550802139,410.649868073879,369.266754617414,418.750531914894,316.661229946524,396.053658536585,289.241689373297
2011,"ANTIOQUIA","PRECIP",113.93286908078,141.347578347578,273.552134146341,452.568078175896,306.788513513514,302.603424657534,293.007473309609,277.335546875,296.139664804469,345.85987654321,327.045222929936,276.201324503311
2012,"ANTIOQUIA","PRECIP",117.096078431373,74.7572368421053,209.267105263158,390.721710526316,336.381578947368,216.373684210526,201.144,315.101307189542,206.230065359477,330.397315436242,263.618367346939,113.944666666667
2013,"ANTIOQUIA","PRECIP",29.0112582781457,136.941721854305,202.504605263158,247.354966887417,409.379333333333,255.824832214765,186.33,340.933103448276,297.489583333333,279.784615384615,309.736956521739,173.960740740741
2014,"ANTIOQUIA","PRECIP",85.3393333333333,113.400238095238,118.331825396825,228.490088495575,324.027721518987,237.227209302326,122.89,251.15,287.91,245.36,NA,141.44
2007,"ARAUCA","PRECIP",6.25,14.85,126.2125,198.7875,233.844444444444,350.911111111111,277.788888888889,317.044444444444,236.611111111111,269.655555555556,104.844444444444,84.1777777777778
2008,"ARAUCA","PRECIP",13.0222222222222,26.0222222222222,37.5,134.688888888889,303.133333333333,315.755555555556,296.944444444444,231.188888888889,228.3,237.425,218.5375,29.45
2009,"ARAUCA","PRECIP",54.1333333333333,20.0222222222222,99.0111111111111,176.844444444444,189.622222222222,370.933333333333,293.188888888889,242.033333333333,181.666666666667,230.188888888889,60.2888888888889,11.975
2010,"ARAUCA","PRECIP",2.21111111111111,10.2555555555556,81.9333333333333,242.977777777778,316,358.24,370.372,229.848,274.176,239.652,177.433333333333,56.1666666666667
2011,"ARAUCA","PRECIP",26.0777777777778,85.0888888888889,91.7888888888889,359.219047619048,493.538095238095,338.429411764706,268.133333333333,204.393333333333,189.013333333333,178.5,199.46,54.5625
2012,"ARAUCA","PRECIP",1.025,17.175,138.475,357.425,325.625,238.5125,298.1625,205.65,212.025,248.9,78.2875,45.8714285714286
